ハッシュのキーを確認するメソッドは？,h○○_○○y?,has_key?,key?
多次元の配列やハッシュを一次元配列にするためのメソッドは？,f○○○○○n,flatten
空の文字列や空の配列の場合、trueを返す真偽判定メソッドは？,e○○○y?,empty?
文字列や配列の要素に対して、指定した文字列が存在するか、確認するための真偽判定メソッドは？,i○○○○○e?,include?
特定の文字の出現回数や、配列の要素の数を数えるメソッドは？,c○○○t,count
指定した数値の中からランダムな値を表示してくれるメソッドは？,r○○d,rand
対象の数値が偶数かどうかを判断するメソッドは？,e○○n?,even?
配列に格納されている要素から、nilを取り除くメソッドは？,c○○○○○t,compact
配列から重複した要素を取り除いた、新しい配列を返すメソッドは？,u○○q,uniq
複数のハッシュを結合させるメソッドは？,m○○○e,merge
配列の要素をランダムに一つ取得するメソッドは？,s○○○○e,sample
配列の要素を結合して一つの文字列にするメソッドは？,j○○n,join
配列から最初の要素を取得するメソッドは？,f○○○t,first
ターミナルに値の入力機能を起動するメソッドは？,g○○s,gets
文字列（配列）の文字数（要素数）を数えるメソッドは？,l○○○○h,length
